obs,source,auth,title,yr_pub,reg,loc,lat_decimal,long_decimal,MAP_mm,precip,soil_type,ox_ult,pH,sand_perc,bnf_input,treat_name,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,ferttype3,fert3_kgN_ha,sample_cm,N_in_kg,NO3_kg_seas,NO3_kg_seas_zero_rm,SE,approx_num_measurements,num_replicates,duration_d,irrig_1_0,irrig_in,tropical,org_Nfix_in,split_app,crop,crop_type,pct_sand_0.15m_ISRIC,pct_sand_combined,MAP_mm_global,MAP_mm_combined,water_input_mm
1,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,1411,542.5,acid-sulphate,0,6.4,14.1,,,urea,0,,,,,60,0,3.8,3.8,,7,36,85,1,260,1,0,1,,cereal,18,14.1,802,1411,802.5
2,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,1411,542.5,acid-sulphate,0,6.4,14.1,,,urea,100,,,,,60,100,8,8,,8,36,85,1,260,1,0,1,,cereal,18,14.1,802,1411,802.5
3,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,1411,542.5,acid-sulphate,0,6.4,14.1,,,urea,150,,,,,60,150,14.5,14.5,,9,36,85,1,260,1,0,1,,cereal,18,14.1,802,1411,802.5
4,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,1411,542.5,acid-sulphate,0,6.4,14.1,,,urea,200,,,,,60,200,23,23,,10,36,85,1,260,1,0,1,,cereal,18,14.1,802,1411,802.5
5,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,85,542.5,acid-sulphate,0,5.4,14.1,,,urea,0,,,,,60,0,0.3,0.3,,11,36,95,1,330,1,0,1,,cereal,18,14.1,802,1411,872.5
6,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,85,542.5,acid-sulphate,0,5.4,14.1,,,urea,100,,,,,60,100,3.1,3.1,,12,36,95,1,330,1,0,1,,cereal,18,14.1,1491,1411,872.5
7,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,85,542.5,acid-sulphate,0,5.4,14.1,,,urea,150,,,,,60,150,4.1,4.1,,13,36,95,1,330,1,0,1,,cereal,18,14.1,1491,1411,872.5
8,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,85,542.5,acid-sulphate,0,5.4,14.1,,,urea,200,,,,,60,200,5.3,5.3,,14,36,95,1,330,1,0,1,,cereal,18,14.1,1491,1411,872.5
9,this study,"Babbar, Li; Zak, Dr",Nitrogen loss from coffee agroecosystems in Costa-Rica - leaching and denitrification in the presence and absence of shade trees,1995,SCA,"San Pedro de Barva, Costa Rica",10.15,-84.13333333,2650,1812,udands,0,5.35,56.25,,,NPK and urea,300,,,,,60,300,8.731335,8.731335,,12,12,365,0,,1,0,1,,tree crop,38,56.25,638,2650,1812
10,this study,"Babbar, Li; Zak, Dr",Nitrogen loss from coffee agroecosystems in Costa-Rica - leaching and denitrification in the presence and absence of shade trees,1995,SCA,"San Pedro de Barva, Costa Rica",10.15,-84.13333333,2650,1812,udands,0,5.35,56.25,,,NPK and urea,300,,,,,60,300,23.31077,23.31077,,12,12,365,0,,1,0,1,,tree crop,38,56.25,638,2650,1812
11,this study,"Cannavo, P; Harmand, JM; Zeller, B; Vaast, P; Ramirez, JE; Dambrine, E",Low nitrogen use efficiency and high nitrate leaching in a highly fertilized Coffea arabica-Inga densiflora agroforestry system: a N-15 labeled fertilizer study,2013,SCA,"San Jose, Costa Rica",10.03,-84.14,2500,2678,Andosol Dystric Haplustand,0,5.6,37.2,UNKNOWN,,urea ,250,ammonium nitrate,,,,120,160,82.8,82.8,,16,24,365,0,0,1,0,1,,tree crop,30,37.2,2215,2500,2678
12,this study,"da Silva, PHM; Poggiani, F; Libardi, PL; Goncalves, AN",Fertilizer management of eucalypt plantations on sandy soil in Brazil: Initial growth and nutrient cycling,2013,SCA,"Anhembi (SÌ£o Paulo State, Brazil)",-22.78333333,48.15,1240,1299,arenosol,0,5.9,94,,split,inorganic,80,,,,,90,80,4.2,4.2,0.9,24,9,365,0,,1,0,1,,other,NA,94,NA,1240,1299
13,this study,"da Silva, PHM; Poggiani, F; Libardi, PL; Goncalves, AN",Fertilizer management of eucalypt plantations on sandy soil in Brazil: Initial growth and nutrient cycling,2013,SCA,"Anhembi (SÌ£o Paulo State, Brazil)",-22.78333333,48.15,1240,1299,arenosol,0,5.9,94,,single,inorganic,80,,,,,90,80,8,8,5.9,24,9,365,0,,1,0,0,,other,NA,94,NA,1240,1299
14,this study,"da Silva, PHM; Poggiani, F; Libardi, PL; Goncalves, AN",Fertilizer management of eucalypt plantations on sandy soil in Brazil: Initial growth and nutrient cycling,2013,SCA,"Anhembi (SÌ£o Paulo State, Brazil)",-22.78333333,48.15,1240,1405,arenosol,0,5.9,94,,split,inorganic,80,,,,,90,80,1.4,1.4,0.3,24,9,365,0,,1,0,1,,other,NA,94,NA,1240,1405
15,this study,"da Silva, PHM; Poggiani, F; Libardi, PL; Goncalves, AN",Fertilizer management of eucalypt plantations on sandy soil in Brazil: Initial growth and nutrient cycling,2013,SCA,"Anhembi (SÌ£o Paulo State, Brazil)",-22.78333333,48.15,1240,1405,arenosol,0,5.9,94,,single,inorganic,80,,,,,90,80,0.5,0.5,0.2,24,9,365,0,,1,0,0,,other,NA,94,NA,1240,1405
16,this study,"Duwig, C; Becquer, T; Clothier, BE; Vauclin, M",Nitrate leaching through oxisols of the Loyalty Islands (New Caledonia) under intensified agricultural practices,1998,O,New Caledonia,-21.496381,167.999107,477.1,488,oxidic ferrallitic soil (type acorthox),1,6.8,,,,ammonium nitrate,104,,,,,40,104,63.8,63.8,,17,9,120,0,,1,0,0,,fallow,48,48,1491,1491,488
17,this study,"Duwig, C; Becquer, T; Clothier, BE; Vauclin, M",Nitrate leaching through oxisols of the Loyalty Islands (New Caledonia) under intensified agricultural practices,1998,O,New Caledonia,-21.496381,167.999107,477.1,1099,oxidic ferrallitic soil (type acorthox),1,6.8,,,,ammonium nitrate,104,,,,,40,104,132.5,132.5,,17,9,120,0,,1,0,0,,cereal,48,48,1491,1491,1099
18,this study,"Duwig, C; Becquer, T; Clothier, BE; Vauclin, M",Nitrate leaching through oxisols of the Loyalty Islands (New Caledonia) under intensified agricultural practices,1998,O,New Caledonia,-21.496381,167.999107,477.1,352,oxidic ferrallitic soil (type acorthox),1,6.8,,,,ammonium nitrate,104,,,,,40,104,22.7,22.7,,17,9,120,0,,1,0,0,,pasture,48,48,1491,1491,352
19,this study,"Duwig, C; Becquer, T; Clothier, BE; Vauclin, M",Water dynamics and nutrient leaching through a cropped Ferralsol in the Loyalty Islands (New Caledonia),2000,O,"Mare, New Caladonia",-21.5,169.0666667,1600,720,Geric Ferralsol,1,6.8,,,bare 1995,inorganic,104,,,,,60,104,40,40,,14,8,100,0,,1,0,0,,fallow,NA,,2190,1600,720
20,this study,"Duwig, C; Becquer, T; Clothier, BE; Vauclin, M",Water dynamics and nutrient leaching through a cropped Ferralsol in the Loyalty Islands (New Caledonia),2000,O,"Mare, New Caladonia",-21.5,169.0666667,1600,1300,Geric Ferralsol,1,6.8,,,bare 1996,inorganic,104,,,,,60,104,180,180,,12,8,90,0,,1,0,1,,fallow,NA,,2190,1600,1300
21,this study,"Duwig, C; Becquer, T; Clothier, BE; Vauclin, M",Water dynamics and nutrient leaching through a cropped Ferralsol in the Loyalty Islands (New Caledonia),2000,O,"Mare, New Caladonia",-21.5,169.0666667,1600,720,Geric Ferralsol,1,6.8,,,corn 1995,inorganic,104,,,,,60,104,144,144,,14,8,100,0,,1,0,0,,cereal,NA,,2190,1600,720
22,this study,"Duwig, C; Becquer, T; Clothier, BE; Vauclin, M",Water dynamics and nutrient leaching through a cropped Ferralsol in the Loyalty Islands (New Caledonia),2000,O,"Mare, New Caladonia",-21.5,169.0666667,1600,1300,Geric Ferralsol,1,6.8,,,corn 1996,inorganic,104,,,,,60,104,50,50,,12,8,90,0,,1,0,1,,cereal,NA,,2190,1600,1300
23,this study,"Duwig, C; Becquer, T; Clothier, BE; Vauclin, M",Water dynamics and nutrient leaching through a cropped Ferralsol in the Loyalty Islands (New Caledonia),2000,O,"Mare, New Caladonia",-21.5,169.0666667,1600,720,Geric Ferralsol,1,6.8,,,grass 1995,inorganic,104,,,,,60,104,46,46,,14,8,100,0,,1,0,0,,pasture,NA,,2190,1600,720
24,this study,"Duwig, C; Becquer, T; Clothier, BE; Vauclin, M",Water dynamics and nutrient leaching through a cropped Ferralsol in the Loyalty Islands (New Caledonia),2000,O,"Mare, New Caladonia",-21.5,169.0666667,1600,1300,Geric Ferralsol,1,6.8,,,grass 1996,inorganic,104,,,,,60,104,22,22,,12,8,90,0,,1,0,1,,pasture,NA,,NA,1600,1300
25,this study,"Ghiberto, Libardi, Brito, Trivelin", Leaching of nutrients from a sugarcane crop growing on an Ultisol in Brazil.,2009,SCA,"Jaboticabal, Sa íÄo Paulo State, Brazil",-21.31666667,-48.31666667,1333,1221,Arenic Kandiustults,0,6,65.4,15,,inorganic,120,,,,,90,120,16.104,16.104,3.4,7,4,260,0,,1,1,1,,other,31,65.4,870,1333,1221
26,this study,"Harmand, JM; Avila, H; Dambrine, E; Skiba, U; de Miguel, S; Renderos, RV; Oliver, R; Jimenez, F; Beer, J",Nitrogen dynamics and soil nitrate retention in a Coffea arabica-Eucalyptus deglupta agroforestry system in Southern Costa Rica,2013,SCA,"San Isidro del General, Costa Rica",9.268888889,-83.55222222,2740,2624,fine textured Acrisol (Ultisol),1,5.2,59,,,ammonium nitrate,180,,,,,200,180,27,27,10,16,16,365,0,0,1,0,0,,tree crop,32,59,2215,2740,2624
27,this study,"Harmand, JM; Avila, H; Dambrine, E; Skiba, U; de Miguel, S; Renderos, RV; Oliver, R; Jimenez, F; Beer, J",Nitrogen dynamics and soil nitrate retention in a Coffea arabica-Eucalyptus deglupta agroforestry system in Southern Costa Rica,2013,SCA,"San Isidro del General, Costa Rica",9.268888889,-83.55222222,2740,2624,fine textured Acrisol (Ultisol),1,5.2,59,,,ammonium nitrate,180,,,,,200,180,16,16,7,16,16,365,0,0,1,0,0,,tree crop,32,59,NA,2740,2624
28,this study,"Jankowski, K; Neill, C; Davidson, EA; Macedo, MN; Costa, C; Galford, GL; Santos, LM; Lefebvre, P; Nunes, D; Cerri, CEP; McHorney, R; O'Connell, C; Coe, MT",Deep soils modify environmental consequences of increased nitrogen fertilizer use in intensifying Amazon agriculture,2018,SCA,"Mato Grosso, Brazil",-12.811131,-52.392027,1800,173.9655691,Oxisol ,1,,55,,,control,0,control,0,,,150,0,0.21,0.21,0.03,10,5,122,0,0,1,0,1,maize (Zea mays L.),cereal,,55,,1800,1973.965569
29,this study,"Jankowski, K; Neill, C; Davidson, EA; Macedo, MN; Costa, C; Galford, GL; Santos, LM; Lefebvre, P; Nunes, D; Cerri, CEP; McHorney, R; O'Connell, C; Coe, MT",Deep soils modify environmental consequences of increased nitrogen fertilizer use in intensifying Amazon agriculture,2018,SCA,"Mato Grosso, Brazil",-12.811131,-52.392027,1800,173.9655691,Oxisol ,1,,55,,,inorganic ammonium nitrate,5,inorganic urea,75,,,150,80,0.28,0.28,0.1,10,5,122,0,0,1,0,1,maize (Zea mays L.),cereal,,55,,1800,1973.965569
30,this study,"Jankowski, K; Neill, C; Davidson, EA; Macedo, MN; Costa, C; Galford, GL; Santos, LM; Lefebvre, P; Nunes, D; Cerri, CEP; McHorney, R; O'Connell, C; Coe, MT",Deep soils modify environmental consequences of increased nitrogen fertilizer use in intensifying Amazon agriculture,2018,SCA,"Mato Grosso, Brazil",-12.811131,-52.392027,1800,173.9655691,Oxisol ,1,,55,,,inorganic ammonium nitrate,5,inorganic urea,115,,,150,120,0.18,0.18,0.04,10,5,122,0,0,1,0,1,maize (Zea mays L.),cereal,,55,,1800,1973.965569
31,this study,"Jankowski, K; Neill, C; Davidson, EA; Macedo, MN; Costa, C; Galford, GL; Santos, LM; Lefebvre, P; Nunes, D; Cerri, CEP; McHorney, R; O'Connell, C; Coe, MT",Deep soils modify environmental consequences of increased nitrogen fertilizer use in intensifying Amazon agriculture,2018,SCA,"Mato Grosso, Brazil",-12.811131,-52.392027,1800,173.9655691,Oxisol ,1,,55,,,inorganic ammonium nitrate,5,inorganic urea,155,,,150,160,0.23,0.23,0.04,10,5,122,0,0,1,0,1,maize (Zea mays L.),cereal,,55,,1800,1973.965569
32,this study,"Jankowski, K; Neill, C; Davidson, EA; Macedo, MN; Costa, C; Galford, GL; Santos, LM; Lefebvre, P; Nunes, D; Cerri, CEP; McHorney, R; O'Connell, C; Coe, MT",Deep soils modify environmental consequences of increased nitrogen fertilizer use in intensifying Amazon agriculture,2018,SCA,"Mato Grosso, Brazil",-12.811131,-52.392027,1800,173.9655691,Oxisol ,1,,55,,,inorganic ammonium nitrate,5,inorganic urea,195,,,150,200,0.28,0.28,0.06,10,5,122,0,0,1,0,1,maize (Zea mays L.),cereal,,55,,1800,1973.965569
33,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,929,,,,,,,manure,100,,,,,120,100,21.41,21.41,,25,8,180,1,37,1,1,0,,cereal,62,62,1491,1491,966
34,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,929,,,,,,,manure,100,,,,,120,100,12.46,12.46,,25,8,180,1,37,1,1,0,,cereal,62,62,1491,1491,966
35,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,929,,,,,,,manure,100,,,,,120,100,23.86,23.86,,25,8,180,1,83,1,1,0,,cereal,62,62,NA,NA,1012
36,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,929,,,,,,,manure,100,,,,,120,100,28.75,28.75,,25,8,180,1,83,1,1,0,,cereal,62,62,NA,NA,1012
37,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,929,,,,,,,ammonium nitrate,100,,,,,120,100,23.22,23.22,,25,8,180,1,83,1,0,1,,cereal,62,62,NA,NA,1012
38,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,929,,,,,,,ammonium nitrate,100,,,,,120,100,18.72,18.72,,25,8,180,1,83,1,0,1,,cereal,62,62,769,769,1012
39,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,19,,,,,,,manure,100,,,,,120,100,5.31,5.31,,25,8,150,1,555,1,1,0,,cereal,62,62,769,769,574
40,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,19,,,,,,,manure,100,,,,,120,100,2.15,2.15,,25,8,150,1,555,1,1,0,,cereal,62,62,769,769,574
41,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,19,,,,,,,manure,100,,,,,120,100,23.43,23.43,,25,8,150,1,685,1,1,0,,cereal,62,62,769,769,704
42,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,19,,,,,,,manure,100,,,,,120,100,13.71,13.71,,25,8,150,1,685,1,1,0,,cereal,62,62,769,769,704
43,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,19,,,,,,,ammonium nitrate,100,,,,,120,100,5.92,5.92,,25,8,150,1,555,1,0,1,,cereal,62,62,769,769,574
44,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,19,,,,,,,ammonium nitrate,100,,,,,120,100,6.91,6.91,,25,8,150,1,555,1,0,1,,cereal,62,62,769,769,574
45,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,19,,,,,,,ammonium nitrate,100,,,,,120,100,16.38,16.38,,25,8,150,1,685,1,0,1,,cereal,62,62,769,769,704
46,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,19,,,,,,shaded,ammonium nitrate,100,,,,,120,100,12.63,12.63,,25,8,150,1,685,1,0,1,,cereal,62,62,769,769,704
47,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,435,,,,,,unshaded,manure,100,,,,,120,100,0.34,0.34,,25,8,180,1,174,1,1,0,,cereal,62,62,769,769,609
48,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,435,,,,,,MW1,manure,100,,,,,120,100,0.25,0.25,,25,8,180,1,174,1,1,0,,cereal,62,62,769,769,609
49,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,435,,,,,,MW1,manure,100,,,,,120,100,4.1,4.1,,25,8,180,1,265,1,1,0,,cereal,62,62,769,769,700
50,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,435,,,,,,MW2,manure,100,,,,,120,100,1.87,1.87,,25,8,180,1,265,1,1,0,,cereal,62,62,769,769,700
51,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,435,,,,,,MW2,ammonium nitrate,100,,,,,120,100,0.97,0.97,,25,8,180,1,174,1,0,1,,cereal,62,62,769,769,609
52,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,435,,,,,,FW2,ammonium nitrate,100,,,,,120,100,0.24,0.24,,25,8,180,1,174,1,0,1,,cereal,62,62,769,769,609
53,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,435,,,,,,FW2,ammonium nitrate,100,,,,,120,100,13.92,13.92,,25,8,180,1,265,1,0,1,,cereal,62,62,769,769,700
54,this study,"Kamukondiwa, W; Bergstrom, L",Nitrate leaching in-field lysimeters at an agricultural site in Zimbabwe,1995,SSA,"Marondera, Zimbabwe",-18.18333333,31.46666667,,435,,,,,,MW1,ammonium nitrate,100,,,,,120,100,4.7,4.7,,25,8,180,1,265,1,0,1,,cereal,62,62,769,769,700
55,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,308.75,Chromic luvisol,0,6.5,26,14,C1984,AMN,0,,,,,100,0,0,0.2,,21,8,90,0,,1,0,1,,cereal,69,26,NA,885,308.75
56,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,308.75,Chromic luvisol,0,6.5,26,14,D1983,AMN,60,,,,,100,60,0,0.2,,21,8,90,0,,1,0,1,,cereal,69,26,NA,885,308.75
57,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,308.75,Chromic luvisol,0,6.5,26,14,D1984,AMN,120,,,,,100,120,0,0.2,,21,8,90,0,,1,0,1,,cereal,69,26,801,885,308.75
58,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,235.46,Haplic lixisol,0,5.5,81,11,k0 1985,AMN,0,,,,,100,0,4.3,4.3,0.070710678,21,8,90,0,,1,0,1,,cereal,69,81,801,885,235.46
59,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,235.46,Haplic lixisol,0,5.5,81,11,k2 1985,AMN,60,,,,,100,60,5,5,0.212132034,21,8,90,0,,1,0,1,,cereal,69,81,801,885,235.46
60,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,235.46,Haplic lixisol,0,5.5,81,11,k0 1986,AMN,120,,,,,100,120,6,6,0.282842712,21,8,90,0,,1,0,1,,cereal,69,81,870,885,235.46
61,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,126.26,Chromic luvisol,0,6.5,26,14,k2 1986,AMN,0,,,,,100,0,7.5,7.5,0.38890873,21,8,120,0,,1,0,1,,cereal,69,26,870,885,126.26
62,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,126.26,Chromic luvisol,0,6.5,26,14,,AMN,60,,,,,100,60,20,20,2.050609665,21,8,120,0,,1,0,1,,cereal,69,26,870,885,126.26
63,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,126.26,Chromic luvisol,0,6.5,26,14,,AMN,120,,,,,100,120,18.3,18.3,1.378858223,21,8,120,0,,1,0,1,,cereal,69,26,870,885,126.26
64,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,308.75,Haplic lixisol,0,5.5,81,11,,AMN,0,,,,,100,0,8.5,8.5,0.212132034,21,8,120,0,,1,0,1,,cereal,69,81,870,885,308.75
65,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,308.75,Haplic lixisol,0,5.5,81,11,,AMN,60,,,,,100,60,17,17,1.661700936,21,8,120,0,,1,0,1,,cereal,69,81,870,885,308.75
66,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,308.75,Haplic lixisol,0,5.5,81,11,,AMN,120,,,,,100,120,26.2,26.2,2.545584412,21,8,120,0,,1,0,1,,cereal,69,81,870,885,308.75
67,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,235.46,Chromic luvisol,0,6.5,26,14,,AMN,0,,,,,100,0,2.5,2.5,0.212132034,21,8,180,0,,1,0,1,,cereal,69,26,870,885,235.46
68,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,235.46,Chromic luvisol,0,6.5,26,14,,AMN,60,,,,,100,60,9.8,9.8,0.353553391,21,8,180,0,,1,0,1,,cereal,69,26,870,885,235.46
69,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,235.46,Chromic luvisol,0,6.5,26,14,,AMN,120,,,,,100,120,10.4,10.4,1.590990258,21,8,180,0,,1,0,1,,cereal,69,26,870,885,235.46
70,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,126.26,Haplic lixisol,0,5.5,81,11,,AMN,0,,,,,100,0,4.3,4.3,0.424264069,21,8,180,0,,1,0,1,,cereal,69,81,870,885,126.26
71,this study,"Mapanda, F., Wuta, M., Nyamangara, J. et al. ",Nitrogen leaching and indirect nitrous oxide emissions from fertilized croplands in Zimbabwe,2012,SSA,"Harare, Zimbabwe",-17,31,885,126.26,Haplic lixisol,0,5.5,81,11,,AMN,60,,,,,100,60,8.6,8.6,0.813172798,21,8,180,0,,1,0,1,,cereal,69,81,870,885,126.26
