obs,source,auth,title,yr_pub,reg,loc,lat_decimal,long_decimal,MAP_mm,soil_type,ox_ult,pH,clay_perc,silt_perc,sand_perc,bnf_input,trt_name,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,ferttype3,fert3_kgN_ha,split_app,org_Nfix_in,irrig_1_0,crop,crop_type,N2O_kg_seas,N2O_kg_seas_zero.rm,SE,approx_num_measurements,num_replicates,duration_d,tropical,N_in_kg,pct_sand_0.05m_extract,pct_sand_combined,MAP_mm_global,MAP_mm_combined
203,this study,"Jumadi, O; Hala, Y; Muis, A; Ali, A; Palennari, M; Yagi, K; Inubushi, K",Influences of chemical fertilizers and a nitrification inhibitor on greenhouse gas fluxes in a corn (Zea mays L.) field in Indonesia,2007,A,"South Sulawesi, Indonesia",-5.183333333,119.4333333,2364,Haplusterts,0,5.7,,,,,CRF-LP30,controlled release fertilzer,90,,,,,1,0,0,,cereal,1.7,1.7,,41,3,83,1,90,43,43,NA,2364
204,this study,"Jumadi, O; Hala, Y; Muis, A; Ali, A; Palennari, M; Yagi, K; Inubushi, K",Influences of chemical fertilizers and a nitrification inhibitor on greenhouse gas fluxes in a corn (Zea mays L.) field in Indonesia,2007,A,"South Sulawesi, Indonesia",-5.183333333,119.4333333,2364,Haplusterts,0,5.7,,,,,urea + DCD,urea + dicyandiamide,90,,,,,1,0,0,,cereal,1.06,1.06,,41,3,83,1,90,43,43,NA,2364
206,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.","Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: I. Residue, Nitrogen, and Water Management",1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993 DS,urea,200,,,,,0,0,1,flooded rice,NCF rice,0.089,0.089,,110,12,111,1,200,33,33,2292,2292
207,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.","Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: I. Residue, Nitrogen, and Water Management",1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993 DS,ammonium sulfate,200,,,,,0,0,1,flooded rice,NCF rice,0.229,0.229,,110,12,111,1,200,33,33,2292,2292
208,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.","Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: I. Residue, Nitrogen, and Water Management",1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993 DS,green manure dry season,200,,,,,0,1,1,flooded rice,NCF rice,0.121,0.121,,110,12,111,1,200,33,33,2292,2292
209,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.","Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: I. Residue, Nitrogen, and Water Management",1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993 DS,straw,192,,,,,0,1,1,flooded rice,NCF rice,0.057,0.057,,110,12,111,1,192,33,33,2292,2292
210,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.","Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: I. Residue, Nitrogen, and Water Management",1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993 WS,urea,120,,,,,0,0,1,flooded rice,CF rice,0.131,0.131,,110,12,98,1,120,33,33,2292,2292
211,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.","Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: I. Residue, Nitrogen, and Water Management",1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993 WS,ammonium sulfate,120,,,,,0,0,1,flooded rice,CF rice,0.097,0.097,,110,12,98,1,120,33,33,2292,2292
212,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.","Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: I. Residue, Nitrogen, and Water Management",1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993 WS,green manure dry season,120,,,,,0,1,1,flooded rice,CF rice,0.055,0.055,,110,12,98,1,120,33,33,2292,2292
213,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.","Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: I. Residue, Nitrogen, and Water Management",1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993 WS,straw,112,,,,,0,1,1,flooded rice,CF rice,0.059,0.059,,110,12,98,1,112,33,33,2292,2292
214,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.","Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: I. Residue, Nitrogen, and Water Management",1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1994 DS,urea,200,,,,,0,0,1,flooded rice,CF rice,0.259,0.259,,110,12,98,1,200,33,33,2292,2292
215,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.","Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: I. Residue, Nitrogen, and Water Management",1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1994 DS,straw,192,,,,,0,1,1,flooded rice,CF rice,0.028,0.028,,110,12,98,1,192,33,33,2292,2292
216,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.","Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: I. Residue, Nitrogen, and Water Management",1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1994 DS,urea,200,,,,,0,0,1,flooded rice,NCF rice,0.638,0.638,,110,12,97,1,200,33,33,2292,2292
217,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.","Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: I. Residue, Nitrogen, and Water Management",1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1994 DS,straw,192,,,,,0,1,1,flooded rice,NCF rice,0.165,0.165,,110,12,97,1,192,33,33,2292,2292
205,this study,"K. F. Bronson,*  U. Singh, H.-U. Neue,  and E. B. Abao, Jr.",Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: II. Fallow Period Emissions,1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1992 WS-DS fallow,urea,200,,,,,0,0,1,flooded rice,fallow,0.61,0.61,,110,12,46,1,200,33,33,2292,2292
218,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.",Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: II. Fallow Period Emissions,1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1992 WS-DS fallow,ammonium sulfate,200,,,,,0,0,1,flooded rice,fallow,0.943,0.943,,110,12,46,1,200,33,33,2292,2292
219,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.",Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: II. Fallow Period Emissions,1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1992 WS-DS fallow,green manure dry season,200,,,,,0,1,1,flooded rice,fallow,0.78,0.78,,110,12,46,1,200,33,33,2292,2292
220,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.",Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: II. Fallow Period Emissions,1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1992 WS-DS fallow,straw,192,,,,,0,1,1,flooded rice,fallow,1.038,1.038,,110,12,46,1,192,33,33,2292,2292
221,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.",Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: II. Fallow Period Emissions,1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993 WS-DS fallow,urea,120,,,,,0,0,1,flooded rice,fallow,1.713,1.713,,110,12,36,1,120,33,33,2292,2292
222,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.",Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: II. Fallow Period Emissions,1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993 WS-DS fallow,ammonium sulfate,120,,,,,0,0,1,flooded rice,fallow,1.193,1.193,,110,12,36,1,120,33,33,2292,2292
223,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.",Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: II. Fallow Period Emissions,1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993 WS-DS fallow,green manure dry season,120,,,,,0,1,1,flooded rice,fallow,1.827,1.827,,110,12,36,1,120,33,33,2292,2292
224,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.",Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: II. Fallow Period Emissions,1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993 WS-DS fallow,straw,112,,,,,0,1,1,flooded rice,fallow,1.716,1.716,,110,12,36,1,112,33,33,2292,2292
225,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.",Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: II. Fallow Period Emissions,1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993-1994 WS-DS fallow,urea,200,,,,,0,0,1,flooded rice,fallow,0.193,0.193,,110,12,89,1,200,33,33,2292,2292
226,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.",Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: II. Fallow Period Emissions,1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993-1994 WS-DS fallow,ammonium sulfate,192,,,,,0,0,1,flooded rice,fallow,0.16,0.16,,110,12,89,1,192,33,33,2292,2292
227,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.",Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: II. Fallow Period Emissions,1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993-1994 WS-DS fallow,green manure dry season,200,,,,,0,1,1,flooded rice,fallow,0.181,0.181,,110,12,89,1,200,33,33,2292,2292
228,this study,"K. F. Bronson,* H.-U. Neue, U. Singh, and E. B. Abac, Jr.",Automated Chamber Measurements of Methane and Nitrous Oxide Flux in a Flooded Rice Soil: II. Fallow Period Emissions,1997,A,"Los Banos, the Philippines",14.16694444,121.2552778,,Guadalupe clay,0,,,,,,1993-1994 WS-DS fallow,straw,192,,,,,0,1,1,flooded rice,fallow,0.361,0.361,,110,12,89,1,192,33,33,2292,2292
229,this study,"Khalil, MI; Rosenani, AB; Van Cleemput, O; Fauziah, CI; Shamshuddin, J",Nitrous oxide emissions from an ultisol of the humid tropics under maize-groundnut rotation,2002,A,Serdang Selangor Darul Ehsan Malaysia,3.033333333,101.7,2293,Ultisols,1,5.3,,,,64.2,NC: inorganic N + crop residues,ammonium sulfate,180,crop residue,142,,,1,1,0,,cereal,1.9,1.9,0.08,36,8,365,1,322,67,67,2067,2293
230,this study,"Khalil, MI; Rosenani, AB; Van Cleemput, O; Fauziah, CI; Shamshuddin, J",Nitrous oxide emissions from an ultisol of the humid tropics under maize-groundnut rotation,2002,A,Serdang Selangor Darul Ehsan Malaysia,3.033333333,101.7,2293,Ultisols,1,5.3,,,,56.4,RN: inorganic N only,ammonium sulfate,180,,,,,1,0,0,,cereal,1.41,1.41,0.07,36,8,365,1,180,67,67,2067,2293
231,this study,"Khalil, MI; Rosenani, AB; Van Cleemput, O; Fauziah, CI; Shamshuddin, J",Nitrous oxide emissions from an ultisol of the humid tropics under maize-groundnut rotation,2002,A,Serdang Selangor Darul Ehsan Malaysia,3.033333333,101.7,2293,Ultisols,1,5.3,,,,74.4,NCM: 0.5*inorganic N + crop residues + chicken manure,ammonium sulfate,90,crop residue,142,chicken manure,168,1,1,0,,cereal,3.94,3.94,0.23,36,8,365,1,400,67,67,2067,2293
232,this study,"Kimetu, JM; Mugendi, DN; Bationo, A; Palm, CA; Mutuo, PK; Kihara, J; Nandwa, S; Giller, K",Partial balance of nitrogen in a maize cropping system in humic nitisol of Central Kenya,2007,SSA,"Kabete, Kenya",-1.25,36.76666667,950,Humic Nitisols,0,5.4,40,23,37,,,Tithonia diversifolia leaves,60,,,,,0,1,0,,cereal,1.1,1.1,,3,4,365,1,60,30,37,539,950
233,this study,"Kimetu, JM; Mugendi, DN; Bationo, A; Palm, CA; Mutuo, PK; Kihara, J; Nandwa, S; Giller, K",Partial balance of nitrogen in a maize cropping system in humic nitisol of Central Kenya,2007,SSA,"Kabete, Kenya",-1.25,36.76666667,950,Humic Nitisols,0,5.4,40,23,37,,,urea,60,,,,,1,0,0,,cereal,0.11,0.11,,3,4,365,1,60,30,37,539,950
234,this study,"Kurgat, BK; Stober, S; Mwonga, S; Lotze-Campen, H; Rosenstock, TS",Livelihood and climate trade-offs in Kenyan peri-urban vegetable production,2018,SSA,"Wangige, Kiambu county, Kenya ",1.220186667,36.69859333,950,Humic Nitisols ,0,,85.9,9.7,4.3,,DAP I,DAP,40,,,,,0,0,,African nightshade,other,1.3,1.3,0.3,11,3,74,1,40,,4.3,,950
235,this study,"Kurgat, BK; Stober, S; Mwonga, S; Lotze-Campen, H; Rosenstock, TS",Livelihood and climate trade-offs in Kenyan peri-urban vegetable production,2018,SSA,"Wangige, Kiambu county, Kenya ",1.220186667,36.69859333,950,Humic Nitisols ,0,,85.9,9.7,4.3,,manure I,manure,29.5,,,,,0,1,,African nightshade,other,0.4,0.4,0.1,11,3,74,1,29.5,,4.3,,950
236,this study,"Kurgat, BK; Stober, S; Mwonga, S; Lotze-Campen, H; Rosenstock, TS",Livelihood and climate trade-offs in Kenyan peri-urban vegetable production,2018,SSA,"Wangige, Kiambu county, Kenya ",1.220186667,36.69859333,950,Humic Nitisols ,0,,85.9,9.7,4.3,,DAP + manure I,DAP,20,manure,14.7,,,1,1,,African nightshade,other,0.6,0.6,0.1,11,3,74,1,34.7,,4.3,,950
237,this study,"Kurgat, BK; Stober, S; Mwonga, S; Lotze-Campen, H; Rosenstock, TS",Livelihood and climate trade-offs in Kenyan peri-urban vegetable production,2018,SSA,"Wangige, Kiambu county, Kenya ",1.220186667,36.69859333,950,Humic Nitisols ,0,,85.9,9.7,4.3,,control I,control,0,,,,,0,0,,African nightshade,other,0.5,0.5,0.1,11,3,74,1,0,,4.3,,950
238,this study,"Kurgat, BK; Stober, S; Mwonga, S; Lotze-Campen, H; Rosenstock, TS",Livelihood and climate trade-offs in Kenyan peri-urban vegetable production,2018,SSA,"Wangige, Kiambu county, Kenya ",1.220186667,36.69859333,950,Humic Nitisols ,0,,85.9,9.7,4.3,,DAP II,DAP,40,,,,,0,0,,African nightshade,other,1.7,1.7,0.2,11,3,50,1,40,,4.3,,950
239,this study,"Kurgat, BK; Stober, S; Mwonga, S; Lotze-Campen, H; Rosenstock, TS",Livelihood and climate trade-offs in Kenyan peri-urban vegetable production,2018,SSA,"Wangige, Kiambu county, Kenya ",1.220186667,36.69859333,950,Humic Nitisols ,0,,85.9,9.7,4.3,,manure II,manure,29.5,,,,,0,1,,African nightshade,other,0.4,0.4,0.1,11,3,50,1,29.5,,4.3,,950
240,this study,"Kurgat, BK; Stober, S; Mwonga, S; Lotze-Campen, H; Rosenstock, TS",Livelihood and climate trade-offs in Kenyan peri-urban vegetable production,2018,SSA,"Wangige, Kiambu county, Kenya ",1.220186667,36.69859333,950,Humic Nitisols ,0,,85.9,9.7,4.3,,DAP + manure II,DAP,20,manure,14.7,,,1,1,,African nightshade,other,0.8,0.8,0.1,11,3,50,1,34.7,,4.3,,950
241,this study,"Kurgat, BK; Stober, S; Mwonga, S; Lotze-Campen, H; Rosenstock, TS",Livelihood and climate trade-offs in Kenyan peri-urban vegetable production,2018,SSA,"Wangige, Kiambu county, Kenya ",1.220186667,36.69859333,950,Humic Nitisols ,0,,85.9,9.7,4.3,,control II,control,0,,,,,0,0,,African nightshade,other,0.4,0.4,0,11,3,50,1,0,,4.3,,950
242,this study,"L. Dendooven, L. PatiÃ±o-ZÃºÃ±iga, N. Verhulst, K. Boden, A. GarcÃ­a-GaytÃ¡n, M. Luna-Guido, and B. Govaerts","Greenhouse Gas Emissions from Nontilled, Permanent Raised, and Conventionally Tilled Beds in the Central Highlands of Mexico",2014,SCA,"El BatÃ¡n, Mexico",19.318,-98.508,,haplic phaeozem,0,,,,,,conventional beds,urea,150,,,,,0,0,0,,cereal,3.14995,3.14995,,53,8,365,1,150,39,39,897,897
243,this study,"L. Dendooven, L. PatiÃ±o-ZÃºÃ±iga, N. Verhulst, K. Boden, A. GarcÃ­a-GaytÃ¡n, M. Luna-Guido, and B. Govaerts","Greenhouse Gas Emissions from Nontilled, Permanent Raised, and Conventionally Tilled Beds in the Central Highlands of Mexico",2014,SCA,"El BatÃ¡n, Mexico",19.318,-98.508,,haplic phaeozem,0,,,,,,PBs,urea,150,,,,,0,0,0,,cereal,2.23745,2.23745,,53,8,365,1,150,39,39,897,897
244,this study,"Lenka, S; Lenka, NK; Singh, AB; Singh, B; Raghuwanshi, J",Global warming potential and greenhouse gas emission under different soil nutrient management practices in soybean- wheat system of central India,2017,A,"Bhopal, Madhya Pradesh,
India",23.3,77.4,920,Vertisol,0,7.85,52,,,,ONM,organic,30,,,,,0,1,1,soy   ,legume,1.2,1.2,,13,7,110,1,120,,0,,
245,this study,"Lenka, S; Lenka, NK; Singh, AB; Singh, B; Raghuwanshi, J",Global warming potential and greenhouse gas emission under different soil nutrient management practices in soybean- wheat system of central India,2017,A,"Bhopal, Madhya Pradesh,
India",23.3,77.4,920,Vertisol,0,7.85,52,,,,NPK,urea,30,,,,,0,1,1,soy ,legume,1.02,1.02,,13,7,110,1,30,,0,,
246,this study,"Lenka, S; Lenka, NK; Singh, AB; Singh, B; Raghuwanshi, J",Global warming potential and greenhouse gas emission under different soil nutrient management practices in soybean- wheat system of central India,2017,A,"Bhopal, Madhya Pradesh,
India",23.3,77.4,920,Vertisol,0,7.85,52,,,,INM,mix in/organic,30,,,,,0,1,1,soy,legume,1.36,1.36,,13,7,110,1,30,,0,,
247,this study,"Lenka, S; Lenka, NK; Singh, AB; Singh, B; Raghuwanshi, J",Global warming potential and greenhouse gas emission under different soil nutrient management practices in soybean- wheat system of central India,2017,A,"Bhopal, Madhya Pradesh,
India",23.3,77.4,920,Vertisol,0,7.85,52,,,,ONM,organic,80,,,,,0,1,1,wheat,cereal,1.22,1.22,,13,7,130,1,30,,0,,
248,this study,"Lenka, S; Lenka, NK; Singh, AB; Singh, B; Raghuwanshi, J",Global warming potential and greenhouse gas emission under different soil nutrient management practices in soybean- wheat system of central India,2017,A,"Bhopal, Madhya Pradesh,
India",23.3,77.4,920,Vertisol,0,7.85,52,,,,NPK,urea,80,,,,,0,0,1,wheat,cereal,1.15,1.15,,13,7,130,1,80,,0,,
249,this study,"Lenka, S; Lenka, NK; Singh, AB; Singh, B; Raghuwanshi, J",Global warming potential and greenhouse gas emission under different soil nutrient management practices in soybean- wheat system of central India,2017,A,"Bhopal, Madhya Pradesh,
India",23.3,77.4,920,Vertisol,0,7.85,52,,,,INM,mix in/organic,80,,,,,0,1,1,wheat,cereal,1.36,1.36,,13,7,130,1,80,,0,,
250,this study,"Lopes, AD; de Andrade, AS; Bassoi, LH; Silva, JF; Bastos, EA; Paulo, VD",Nitrous oxide emission in response to N application in irrigated sugarcane,2018,SCA,"Teresina, PI, Brazil ",-5.083333333,-42.48333333,1343.4,ultisol (dystrophic Red Yellow Argisol),1,5.76,18,22,60,,1,DAP,0,,,,,1,1,1,sugarcane,other,0.3,0.3,,5,4,230,1,0,,60,,1343.4
251,this study,"Lopes, AD; de Andrade, AS; Bassoi, LH; Silva, JF; Bastos, EA; Paulo, VD",Nitrous oxide emission in response to N application in irrigated sugarcane,2018,SCA,"Teresina, PI, Brazil ",-5.083333333,-42.48333333,1343.4,ultisol (dystrophic Red Yellow Argisol),1,5.76,18,22,60,,2,DAP,60,,,,,1,1,1,sugarcane,other,1.9,1.9,,5,4,230,1,60,,60,,1343.4
252,this study,"Lopes, AD; de Andrade, AS; Bassoi, LH; Silva, JF; Bastos, EA; Paulo, VD",Nitrous oxide emission in response to N application in irrigated sugarcane,2018,SCA,"Teresina, PI, Brazil ",-5.083333333,-42.48333333,1343.4,ultisol (dystrophic Red Yellow Argisol),1,5.76,18,22,60,,3,DAP,120,,,,,1,1,1,sugarcane,other,2.3,2.3,,5,4,230,1,120,,60,,1343.4
253,this study,"Lopes, AD; de Andrade, AS; Bassoi, LH; Silva, JF; Bastos, EA; Paulo, VD",Nitrous oxide emission in response to N application in irrigated sugarcane,2018,SCA,"Teresina, PI, Brazil ",-5.083333333,-42.48333333,1343.4,ultisol (dystrophic Red Yellow Argisol),1,5.76,18,22,60,,4,DAP,60,,,,,1,1,1,sugarcane,other,3.2,3.2,,5,4,230,1,60,,60,,1343.4
254,this study,"Lopes, AD; de Andrade, AS; Bassoi, LH; Silva, JF; Bastos, EA; Paulo, VD",Nitrous oxide emission in response to N application in irrigated sugarcane,2018,SCA,"Teresina, PI, Brazil ",-5.083333333,-42.48333333,1343.4,ultisol (dystrophic Red Yellow Argisol),1,5.76,18,22,60,,5,DAP,120,,,,,1,1,1,sugarcane,other,4.6,4.6,,5,4,230,1,120,,60,,1343.4
255,this study,"Lourenco, Kesia S.; Dimitrov, Mauricio R.; Pijl, Agata; Soares, Johnny R.; do Carmo, Janaina B.; van Veen, Johannes A.; Cantarella, Heitor; Kuramae, Eiko E.",Dominance of bacterial ammonium oxidizers and fungal denitrifiers in the complex nitrogen cycle pathways related to nitrous oxide emission,2018,SCA,"Piracicaba, Brazil",-22.683642,-47.646394,1390,Oxisol ,1,5.95,61.9,14.5,23.6,,control RS,,0,,,,,0,1,1,sugarcane,other,0.15653041,0.15653041,,42,3,90,1,100,,23.6,,1390
256,this study,"Lourenco, Kesia S.; Dimitrov, Mauricio R.; Pijl, Agata; Soares, Johnny R.; do Carmo, Janaina B.; van Veen, Johannes A.; Cantarella, Heitor; Kuramae, Eiko E.",Dominance of bacterial ammonium oxidizers and fungal denitrifiers in the complex nitrogen cycle pathways related to nitrous oxide emission,2018,SCA,"Piracicaba, Brazil",-22.683642,-47.646394,1390,Oxisol ,1,5.95,61.9,14.5,23.6,,N RS,ammonium nitrate,100,,,,,0,1,1,sugarcane,other,0.19441675,0.19441675,,42,3,90,1,53,,23.6,,1390
257,this study,"Lourenco, Kesia S.; Dimitrov, Mauricio R.; Pijl, Agata; Soares, Johnny R.; do Carmo, Janaina B.; van Veen, Johannes A.; Cantarella, Heitor; Kuramae, Eiko E.",Dominance of bacterial ammonium oxidizers and fungal denitrifiers in the complex nitrogen cycle pathways related to nitrous oxide emission,2018,SCA,"Piracicaba, Brazil",-22.683642,-47.646394,1390,Oxisol ,1,5.95,61.9,14.5,23.6,,Vb RS,vinasse,53,,,,,0,1,1,sugarcane,other,0.9471585,0.9471585,,42,3,90,1,0,,23.6,,1390
258,this study,"Lourenco, Kesia S.; Dimitrov, Mauricio R.; Pijl, Agata; Soares, Johnny R.; do Carmo, Janaina B.; van Veen, Johannes A.; Cantarella, Heitor; Kuramae, Eiko E.",Dominance of bacterial ammonium oxidizers and fungal denitrifiers in the complex nitrogen cycle pathways related to nitrous oxide emission,2018,SCA,"Piracicaba, Brazil",-22.683642,-47.646394,1390,Oxisol ,1,5.95,61.9,14.5,23.6,,CVb RS,,0,,,,,0,1,1,sugarcane,other,0.45463608,0.45463608,,42,3,90,1,53,,23.6,,1390
259,this study,"Lourenco, Kesia S.; Dimitrov, Mauricio R.; Pijl, Agata; Soares, Johnny R.; do Carmo, Janaina B.; van Veen, Johannes A.; Cantarella, Heitor; Kuramae, Eiko E.",Dominance of bacterial ammonium oxidizers and fungal denitrifiers in the complex nitrogen cycle pathways related to nitrous oxide emission,2018,SCA,"Piracicaba, Brazil",-22.683642,-47.646394,1390,Oxisol ,1,5.95,61.9,14.5,23.6,,V+Nb RS,vinasse,53,ammonium nitrate,100,,,1,1,1,sugarcane,other,0.2735128,0.2735128,,42,3,90,1,100,,23.6,,1390
260,this study,"Lourenco, Kesia S.; Dimitrov, Mauricio R.; Pijl, Agata; Soares, Johnny R.; do Carmo, Janaina B.; van Veen, Johannes A.; Cantarella, Heitor; Kuramae, Eiko E.",Dominance of bacterial ammonium oxidizers and fungal denitrifiers in the complex nitrogen cycle pathways related to nitrous oxide emission,2018,SCA,"Piracicaba, Brazil",-22.683642,-47.646394,1390,Oxisol ,1,5.95,61.9,14.5,23.6,,CV+Nb RS,,0,,,,,0,1,1,sugarcane,other,0.7630442,0.7630442,,42,3,90,1,53,,23.6,,1390
261,this study,"Lourenco, Kesia S.; Dimitrov, Mauricio R.; Pijl, Agata; Soares, Johnny R.; do Carmo, Janaina B.; van Veen, Johannes A.; Cantarella, Heitor; Kuramae, Eiko E.",Dominance of bacterial ammonium oxidizers and fungal denitrifiers in the complex nitrogen cycle pathways related to nitrous oxide emission,2018,SCA,"Piracicaba, Brazil",-22.683642,-47.646394,1390,Oxisol ,1,5.95,61.9,14.5,23.6,,V RS,vinasse,53,,,,,0,1,1,sugarcane,other,0.22166832,0.22166832,,42,3,90,1,48,,23.6,,1390
262,this study,"Lourenco, Kesia S.; Dimitrov, Mauricio R.; Pijl, Agata; Soares, Johnny R.; do Carmo, Janaina B.; van Veen, Johannes A.; Cantarella, Heitor; Kuramae, Eiko E.",Dominance of bacterial ammonium oxidizers and fungal denitrifiers in the complex nitrogen cycle pathways related to nitrous oxide emission,2018,SCA,"Piracicaba, Brazil",-22.683642,-47.646394,1390,Oxisol ,1,5.95,61.9,14.5,23.6,,CV RS,vinasse,48,,,,,0,1,1,sugarcane,other,9.9946826,9.9946826,,42,3,90,1,53,,23.6,,1390
263,this study,"Lourenco, Kesia S.; Dimitrov, Mauricio R.; Pijl, Agata; Soares, Johnny R.; do Carmo, Janaina B.; van Veen, Johannes A.; Cantarella, Heitor; Kuramae, Eiko E.",Dominance of bacterial ammonium oxidizers and fungal denitrifiers in the complex nitrogen cycle pathways related to nitrous oxide emission,2018,SCA,"Piracicaba, Brazil",-22.683642,-47.646394,1390,Oxisol ,1,5.95,61.9,14.5,23.6,,V+N  RS,vinasse,53,ammonium nitrate,100,,,1,1,1,sugarcane,other,0.93652374,0.93652374,,42,3,90,1,148,,23.6,,1390
