obs,source,auth,title,yr_pub,region,loc,lat_decimal,long_decimal,MAP_mm,soil_type,ox_ult,pH,clay_perc,silt_perc,sand_perc,bnf_input,trt_name,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,N_in_kg,org_Nfix_in,irrig_1_0,tropical,split_app,crop,crop_type,NO_kg_seas,NO_kg_seas_zero_rm,SE,approx_num_measurements,num_replicates,duration_d,pct_sand_0.05m_extract,pct_sand_combined,MAP_mm_global,MAP_mm_combined
123,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Thornton_and_Valente_(1996),,,,"Jackson, Tennesee",35.61666667,-88.83333333,,,,,,,,,,AN,,,,140,,,0,,Maize,cereal,0.81,0.81,,,,210,,,,
124,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Thornton_and_Valente_(1996),,,,"Jackson, Tennesee",35.61666667,-88.83333333,,,,,,,,,,AN,,,,252,,,0,,Maize,cereal,1.13,1.13,,,,210,,,,
125,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Thornton_et_al._(1996),,,,"Jackson, Tennessee, USA",35.61666667,-88.83333333,,,,,,,,,,,,,,0,,,0,,Maize,cereal,0.34,0.34,,,,130,,,,
126,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Thornton_et_al._(1996),,,,"Jackson, Tennessee, USA",35.61666667,-88.83333333,,,,,,,,,,AA,,,,168,,,0,,Maize,cereal,0.54,0.54,,,,130,,,,
127,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Thornton_et_al._(1996),,,,"Jackson, Tennessee, USA",35.61666667,-88.83333333,,,,,,,,,,U,,,,168,,,0,,Maize,cereal,0.61,0.61,,,,130,,,,
128,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Thornton_et_al._(1998),,,,"Alabama, USA",32.990188,-86.818908,,,,,,,,,,,,,,0,,,0,,Grass,pasture,0.16,0.16,,,,159,,,,
129,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Thornton_et_al._(1998),,,,"Alabama, USA",32.990188,-86.818908,,,,,,,,,,Composted poultry litter,,,,672,,,0,,Grass,pasture,0.47,0.47,,,,159,,,,
130,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Thornton_et_al._(1998),,,,"Alabama, USA",32.990188,-86.818908,,,,,,,,,,Poultry litter,,,,672,,,0,,Grass,pasture,0.97,0.97,,,,159,,,,
131,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Thornton_et_al._(1998),,,,"Alabama, USA",32.990188,-86.818908,,,,,,,,,,U,,,,336,,,0,,Grass,pasture,1.36,1.36,,,,159,,,,
132,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Tilsner_et_al._(2003),,,,"Bayreuth, NE Bavaria, Germany",49.9166,11.51666667,,,,,,,,,,None,,,,0,,,0,,Grass,pasture,1.5,1.5,,,,350,,,,
133,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Tilsner_et_al._(2003),,,,"Bayreuth, NE Bavaria, Germany",49.9166,11.51666667,,,,,,,,,,slurry,,,,75,,,0,,Grass,pasture,1.9,1.9,,,,350,,,,
134,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Tilsner_et_al._(2003),,,,"Bayreuth, NE Bavaria, Germany",49.9166,11.51666667,,,,,,,,,,CAN,,,,74,,,0,,Grass,pasture,1.9,1.9,,,,350,,,,
135,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Valente_and_Thornton_(1993),,,,"Giles County, Tennessee, USA",35.239444,-87.019433,,,,,,,,,,,,,,0,,,0,,Maize,cereal,0.012,0.012,,,,12,,,,
136,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Valente_and_Thornton_(1993),,,,"Giles County, Tennessee, USA",35.239444,-87.019433,,,,,,,,,,,,,,0,,,0,,Grass,pasture,0.025,0.025,,,,12,,,,
137,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Valente_and_Thornton_(1993),,,,"Giles County, Tennessee, USA",35.239444,-87.019433,,,,,,,,,,AN,,,,111,,,0,,Maize,cereal,0.311,0.311,,,,15,,,,
138,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Valente_and_Thornton_(1993),,,,"Giles County, Tennessee, USA",35.239444,-87.019433,,,,,,,,,,AN,,,,111,,,0,,Grass,pasture,0.327,0.327,,,,9,,,,
139,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Valente_et_al._(1995),,,,"Muscle Shoals, Alabama",34.765874,-87.650692,,,,,,,,,,,,,,112,,,0,,Cotton,other,0.107,0.107,,,,7,,,,
140,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Valente_et_al._(1995),,,,"Muscle Shoals, Alabama",34.765874,-87.650692,,,,,,,,,,,,,,112,,,0,,Cotton,other,0.109,0.109,,,,7,,,,
141,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Watabe_et_al._(1997),,,,"Ibaraki, Kanto district, Japan",36.16001,140.215347,,,,,,,,,,Cattle manure,,,,117,,,0,,Grass,pasture,0.562,0.562,,,,200,,,,
142,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Watabe_et_al._(1997),,,,"Ibaraki, Kanto district, Japan",36.16001,140.215347,,,,,,,,,,Swine manure,,,,212,,,0,,Grass,pasture,0.952,0.952,,,,200,,,,
143,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Williams_et_al._(1988),,,,"State College, Pennsylvania, USA",40.796015,-77.862276,,,,,,,,,,,,,,0,,,0,,Wheat,cereal,0.012,0.012,,,,12,,,,
144,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Williams_et_al._(1988),,,,"State College, Pennsylvania, USA",40.796015,-77.862276,,,,,,,,,,U + AN,,,,30,,,0,,Maize,cereal,0.974,0.974,,,,12,,,,
145,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Yamulki_et_al._(1995),,,,"Rothamsted, UK",51.809368,-0.356175,,,,,,,,,,AN + CaCO3,,,,150,,,0,,Wheat,cereal,0.79,0.79,,,,450,,,,
146,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Yan_et_al._(2001),,,,"Tsukuba, Japan",36.016,140.11666,,,,,,,,,,,,,,0,,,0,,Maize,cereal,-0.026,0.0005,,,,124,,,,
147,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Yan_et_al._(2001),,,,"Tsukuba, Japan",36.016,140.11666,,,,,,,,,,Coated urea,,,,150,,,0,,Maize,cereal,0.031,0.031,,,,124,,,,
148,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Yan_et_al._(2001),,,,"Tsukuba, Japan",36.016,140.11666,,,,,,,,,,,,,,150,,,0,,Maize,cereal,0.395,0.395,,,,124,,,,
149,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. ",Yan_et_al._(2001),,,,"Tsukuba, Japan",36.016,140.11666,,,,,,,,,,,,,,250,,,0,,Maize,cereal,0.417,0.417,,,,124,,,,
150,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Abalos et al., 2012",,,,"Madrid, Spain ",40.53333333,-30.28333333,,,,,,,,,,,,,,0,,,0,,Barley,cereal,0.09,0.09,,,,120,,,,
151,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Abalos et al., 2012",,,,"Madrid, Spain ",40.53333333,-30.28333333,,,,,,,,,,Urea,,,,120,,,0,,Barley,cereal,0.63,0.63,,,,120,,,,
152,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Abalos et al., 2012",,,,"Madrid, Spain ",40.53333333,-30.28333333,,,,,,,,,,Urea+urease inhibitor,,,,120,,,0,,Barley,cereal,0.16,0.16,,,,120,,,,
153,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Abalos et al., 2014",,,,"Madrid, Spain ",40.53333333,-30.28333333,,,,,,,,,,,,,,0,,,0,,Melon,other,0.04,0.04,,,,85,,,,
154,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Abalos et al., 2014",,,,"Madrid, Spain ",40.53333333,-30.28333333,,,,,,,,,,Urea,,,,125,,,0,,Melon,other,0.15,0.15,,,,120,,,,
155,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Abalos et al., 2014",,,,"Madrid, Spain ",40.53333333,-30.28333333,,,,,,,,,,Calcium nitrate,,,,125,,,0,,Melon,other,0.06,0.06,,,,85,,,,
156,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Abalos et al., 2014",,,,"Madrid, Spain ",40.53333333,-30.28333333,,,,,,,,,,,,,,0,,,0,,Melon,other,0.05,0.05,,,,85,,,,
157,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Abalos et al., 2014",,,,"Madrid, Spain ",40.53333333,-30.28333333,,,,,,,,,,Urea,,,,125,,,0,,Melon,other,0.28,0.28,,,,120,,,,
158,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Abalos et al., 2014",,,,"Madrid, Spain ",40.53333333,-30.28333333,,,,,,,,,,Calcium nitrate,,,,125,,,0,,Melon,other,0.09,0.09,,,,85,,,,
159,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Akiyama et al., 2015",,,,"Tsukuba, Japan ",36.01666667,140.1166667,,,,,,,,,,Urea,,,,120,,,0,,komatsuna,other,0.63,0.63,,,,158,,,,
160,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Akiyama et al., 2015",,,,"Tsukuba, Japan ",36.01666667,140.1166667,,,,,,,,,,Urea+DCD,,,,120,,,0,,komatsuna,other,0.16,0.16,,,,158,,,,
161,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Akiyama et al., 2015",,,,"Tsukuba, Japan ",36.01666667,140.1166667,,,,,,,,,,Urea,,,,120,,,0,,komatsuna,other,0.36,0.36,,,,158,,,,
162,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Akiyama et al., 2015",,,,"Tsukuba, Japan ",36.01666667,140.1166667,,,,,,,,,,Urea+DCD,,,,120,,,0,,komatsuna,other,0.32,0.32,,,,158,,,,
163,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Akiyama et al., 2015",,,,"Tsukuba, Japan ",36.01666667,140.1166667,,,,,,,,,,Urea,,,,120,,,0,,komatsuna,other,0.25,0.25,,,,208,,,,
164,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Akiyama et al., 2015",,,,"Tsukuba, Japan ",36.01666667,140.1166667,,,,,,,,,,Polymer coated urea,,,,120,,,0,,komatsuna,other,0.4,0.4,,,,208,,,,
165,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Akiyama et al., 2015",,,,"Tsukuba, Japan ",36.01666667,140.1166667,,,,,,,,,,Urea,,,,120,,,0,,komatsuna,other,0.68,0.68,,,,208,,,,
166,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Akiyama et al., 2015",,,,"Tsukuba, Japan ",36.01666667,140.1166667,,,,,,,,,,Polymer coated urea,,,,120,,,0,,komatsuna,other,0.45,0.45,,,,208,,,,
167,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Cui et al., 2012",,,,"Huantai County, Shandong, China",36.96666667,117.9833333,,,,,,,,,,,,,,0,,,0,,Wheat-maize rotation,cereal,0.4,0.4,,,,360,,,,
168,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Cui et al., 2012",,,,"Huantai County, Shandong, China",36.96666667,117.9833333,,,,,,,,,,Urea,,,,600,,,0,,Wheat-maize rotation,cereal,3.2,3.2,,,,360,,,,
169,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Deng et al., 2012",,,,"Wuxi, Jiangsu, China",31.61666667,120.4666667,,,,,,,,,,,,,,0,,,0,,Wheat,cereal,0.29,0.29,,,,201,,,,
170,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Deng et al., 2012",,,,"Wuxi, Jiangsu, China",31.61666667,120.4666667,,,,,,,,,,Urea,,,,180,,,0,,Wheat,cereal,0.8,0.8,,,,201,,,,
171,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Fang and Mu, 2006",,,,"Yangtze Delta, Zhejiang, China ",30.83333333,120.7,,,,,,,,,,Compound fertilizer+organic N,,,,45.6,,,0,,Potato,other,1.65,1.65,,,,56,,,,
172,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Gaihre et al., 2015",,,,"Mymensingh, Bangladesh ",24.7,90.41666667,,,,,,,,,,,,,,0,,,0,,Rice,rice,0,0.0005,,,,310,,,,
173,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Gaihre et al., 2015",,,,"Mymensingh, Bangladesh ",24.7,90.41666667,,,,,,,,,,Urea,,,,182,,,0,,Rice,rice,0.01,0.01,,,,310,,,,
174,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Gaihre et al., 2015",,,,"Mymensingh, Bangladesh ",24.7,90.41666667,,,,,,,,,,Urea,,,,260,,,0,,Rice,rice,0.01,0.01,,,,310,,,,
175,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Gaihre et al., 2015",,,,"Gazipur, Bangladesh ",23.98333333,90.4,,,,,,,,,,,,,,0,,,0,,Rice,rice,0.01,0.01,,,,310,,,,
176,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Gaihre et al., 2015",,,,"Gazipur, Bangladesh ",23.98333333,90.4,,,,,,,,,,Urea,,,,182,,,0,,Rice,rice,0.05,0.05,,,,310,,,,
177,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Gaihre et al., 2015",,,,"Gazipur, Bangladesh ",23.98333333,90.4,,,,,,,,,,Urea,,,,260,,,0,,Rice,rice,0.03,0.03,,,,310,,,,
178,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Harrison and Yamulki, 1995",,,,"Harpenden, UK",51.81666667,-0.35,,,,,,,,,,,,,,0,,,0,,Fallow,fallow,0,0.0005,,,,25,,,,
179,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Harrison and Yamulki, 1995",,,,"Harpenden, UK",51.81666667,-0.35,,,,,,,,,,Ammonium nitrate,,,,48,,,0,,Fallow,fallow,0,0.0005,,,,25,,,,
180,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Harrison and Yamulki, 1995",,,,"Harpenden, UK",51.81666667,-0.35,,,,,,,,,,Ammonium nitrate,,,,96,,,0,,Fallow,fallow,0,0.0005,,,,25,,,,
181,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Harrison and Yamulki, 1995",,,,"Harpenden, UK",51.81666667,-0.35,,,,,,,,,,Ammonium nitrate,,,,192,,,0,,Fallow,fallow,0.01,0.01,,,,25,,,,
182,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Hayakawa et al., 2009",,,,Japan ,36.01666667,140.1166667,,,,,,,,,,Manure,,,,120,,,0,,Komatsuna,other,0.17,0.17,,,,47,,,,
183,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Hayakawa et al., 2009",,,,Japan ,36.01666667,140.1166667,,,,,,,,,,Manure,,,,120,,,0,,Komatsuna,other,0.14,0.14,,,,47,,,,
184,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Hayakawa et al., 2009",,,,Japan ,36.01666667,140.1166667,,,,,,,,,,Ammonium sulfate,,,,120,,,0,,Komatsuna,other,0.46,0.46,,,,47,,,,
185,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Hayakawa et al., 2009",,,,Japan ,36.01666667,140.1166667,,,,,,,,,,Manure,,,,120,,,0,,Komatsuna,other,0.37,0.37,,,,37,,,,
186,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Hayakawa et al., 2009",,,,Japan ,36.01666667,140.1166667,,,,,,,,,,Manure,,,,120,,,0,,Komatsuna,other,0.32,0.32,,,,37,,,,
187,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Hayakawa et al., 2009",,,,Japan ,36.01666667,140.1166667,,,,,,,,,,Ammonium sulfate,,,,120,,,0,,Komatsuna,other,0.87,0.87,,,,37,,,,
188,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Hayakawa et al., 2009",,,,Japan ,36.01666667,140.1166667,,,,,,,,,,Manure,,,,240,,,0,,Komatsuna,other,0.79,0.79,,,,365,,,,
189,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Hayakawa et al., 2009",,,,Japan ,36.01666667,140.1166667,,,,,,,,,,Manure,,,,240,,,0,,Komatsuna,other,0.69,0.69,,,,365,,,,
190,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Hayakawa et al., 2009",,,,Japan ,36.01666667,140.1166667,,,,,,,,,,Ammonium sulfate,,,,240,,,0,,Komatsuna,other,1.56,1.56,,,,365,,,,
191,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Katayanagi et al., 2008",,,,"Hokkaido University, Japan ",42.41666667,142.4833333,,,,,,,,,,Unkown chemical N+manure+slurry+excreta,,,,220,,,0,,Maize,cereal,0.8,0.8,,,,365,,,,
192,"Liu et al., “A Meta-Analysis of Fertilizer-Induced Soil NO and Combined NO+N2O Emissions.” Global Change Biology 23, no. 6 (June 2017): 2520-2532. ","Kusa et al., 2006",,,,"Hokkaido, Japan ",43.01666667,141.4,,,,,,,,,,Unkown chemical N+manure,,,,130,,,0,,Maize,cereal,2.7,2.7,,,,210,,,,
