obs,source,auth,title,yr_pub,region,loc,lat_decimal,long_decimal,MAP_mm,soil_type,ox_ult,pH,clay_perc,silt_perc,sand_perc,bnf_input,trt_name,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,N_in_kg,org_Nfix_in,irrig_1_0,tropical,split_app,crop,crop_type,NO_kg_seas,NO_kg_seas_zero_rm,SE,approx_num_measurements,num_replicates,duration_d,pct_sand_0.05m_extract,pct_sand_combined,MAP_mm_global,MAP_mm_combined
80,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Jambert_et_al._(1994),,,,"Landes de Gascoigne, France",44.48515,-0.797677,,,,,,,,,,,,,,0,,,0,,Maize,cereal,0,0.0005,,,,1,,,,
81,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Jambert_et_al._(1994),,,,"Landes de Gascoigne, France",44.48515,-0.797677,,,,,,,,,,,,,,280,,,0,,Maize,cereal,0.001,0.001,,,,1,,,,
82,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Jambert_et_al._(1994),,,,"Landes de Gascoigne, France",44.48515,-0.797677,,,,,,,,,,,,,,150,,,0,,Maize,cereal,0.002,0.002,,,,1,,,,
83,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Jambert_et_al._(1994),,,,"Landes de Gascoigne, France",44.48515,-0.797677,,,,,,,,,,,,,,0,,,0,,Maize,cereal,0.031,0.031,,,,1,,,,
84,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Jambert_et_al._(1994),,,,"Landes de Gascoigne, France",44.48515,-0.797677,,,,,,,,,,,,,,0,,,0,,Maize,cereal,0.252,0.252,,,,1,,,,
85,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Jambert_et_al._(1994),,,,"Landes de Gascoigne, France",44.48515,-0.797677,,,,,,,,,,,,,,150,,,0,,Maize,cereal,0.473,0.473,,,,1,,,,
86,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Jambert_et_al._(1997),,,,"Landes de Gascoigne, SW France",44.48515,-0.797677,,,,,,,,,,AA,,,,280,,,0,,maize,cereal,32,32,,,,365,,,,
87,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Johansson_and_Grat_(1984),,,,"Kjettslinge, Sweden",62.725311,15.279816,,,,,,,,,,,,,,0,,,0,,Barley,cereal,0.2,0.2,,,,150,,,,
88,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Johansson_and_Grat_(1984),,,,"Kjettslinge, Sweden",62.725311,15.279816,,,,,,,,,,CN,,,,200,,,0,,Grass,pasture,0.6,0.6,,,,150,,,,
89,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Li_et_al._(1999),,,,"20 km SW of Plymouth, N. Caroli",36.383,-79.7,,,,,,,,,,AN,,,,30,,,0,,Soybean,legume,0.113,0.113,,,,26,,,,
